date,home_team,away_team,home_score,away_score,result,predicted,correct,prob_A,prob_D,prob_H
2026-06-11,Mexico,South Africa,2.0,0.0,H,H,1,0.0448,0.1329,0.8222
2026-06-11,South Korea,Czech Republic,2.0,1.0,H,H,1,0.2326,0.312,0.4553
2026-06-12,Canada,Bosnia and Herzegovina,1.0,1.0,D,H,0,0.0678,0.1979,0.7343
2026-06-12,United States,Paraguay,4.0,1.0,H,H,1,0.2963,0.2939,0.4099
2026-06-13,Qatar,Switzerland,1.0,1.0,D,A,0,0.6517,0.2658,0.0826
2026-06-13,Brazil,Morocco,1.0,1.0,D,H,0,0.2316,0.2961,0.4723
2026-06-13,Haiti,Scotland,0.0,1.0,A,A,1,0.4606,0.3082,0.2312
2026-06-13,Australia,Turkey,2.0,0.0,H,A,0,0.4058,0.3023,0.2919
2026-06-14,Germany,Curaçao,7.0,1.0,H,H,1,0.0363,0.0918,0.8718
2026-06-14,Ivory Coast,Ecuador,1.0,0.0,H,A,0,0.4543,0.2764,0.2693
2026-06-14,Netherlands,Japan,2.0,2.0,D,H,0,0.3293,0.3158,0.355
2026-06-14,Sweden,Tunisia,5.0,1.0,H,H,1,0.2179,0.2908,0.4914
2026-06-15,Belgium,Egypt,1.0,1.0,D,H,0,0.1477,0.3563,0.496
2026-06-15,Iran,New Zealand,2.0,2.0,D,H,0,0.1343,0.2826,0.5831
2026-06-15,Spain,Cape Verde,0.0,0.0,D,H,0,0.0364,0.1105,0.8531
2026-06-15,Saudi Arabia,Uruguay,1.0,1.0,D,A,0,0.6301,0.2142,0.1557
2026-06-16,France,Senegal,3.0,1.0,H,H,1,0.1517,0.2128,0.6354
2026-06-16,Iraq,Norway,1.0,4.0,A,A,1,0.6887,0.1782,0.133
2026-06-16,Argentina,Algeria,3.0,0.0,H,H,1,0.0876,0.1285,0.7838
2026-06-16,Austria,Jordan,3.0,1.0,H,H,1,0.1646,0.2185,0.6169
2026-06-17,Portugal,DR Congo,1.0,1.0,D,H,0,0.0612,0.1431,0.7957
2026-06-17,Uzbekistan,Colombia,1.0,3.0,A,A,1,0.7063,0.1793,0.1144
2026-06-17,England,Croatia,4.0,2.0,H,H,1,0.1828,0.1631,0.6541
2026-06-17,Ghana,Panama,1.0,0.0,H,A,0,0.5218,0.2976,0.1806
2026-06-18,Czech Republic,South Africa,1.0,1.0,D,H,0,0.2115,0.31,0.4785
2026-06-18,Mexico,South Korea,1.0,0.0,H,H,1,0.117,0.2886,0.5944
2026-06-18,Switzerland,Bosnia and Herzegovina,4.0,1.0,H,H,1,0.0891,0.2204,0.6905
2026-06-18,Canada,Qatar,6.0,0.0,H,H,1,0.0556,0.1387,0.8057
2026-06-19,Scotland,Morocco,0.0,1.0,A,A,1,0.5878,0.2423,0.1699
2026-06-19,Brazil,Haiti,3.0,0.0,H,H,1,0.0405,0.1689,0.7907
2026-06-19,United States,Australia,2.0,0.0,H,H,1,0.2393,0.303,0.4576
2026-06-19,Turkey,Paraguay,0.0,1.0,A,H,0,0.3108,0.3259,0.3633
2026-06-20,Germany,Ivory Coast,2.0,1.0,H,H,1,0.1146,0.164,0.7214
2026-06-20,Ecuador,Curaçao,0.0,0.0,D,H,0,0.0352,0.1399,0.8249
2026-06-20,Netherlands,Sweden,5.0,1.0,H,H,1,0.1698,0.3494,0.4808
2026-06-20,Tunisia,Japan,0.0,4.0,A,A,1,0.7225,0.1524,0.1252
2026-06-21,Belgium,Iran,0.0,0.0,D,H,0,0.2236,0.385,0.3915
2026-06-21,New Zealand,Egypt,1.0,3.0,A,A,1,0.4064,0.3027,0.2909
2026-06-21,Spain,Saudi Arabia,4.0,0.0,H,H,1,0.0767,0.1825,0.7408
2026-06-21,Uruguay,Cape Verde,2.0,2.0,D,H,0,0.0724,0.1988,0.7288
2026-06-22,France,Iraq,3.0,0.0,H,H,1,0.0871,0.2504,0.6625
2026-06-22,Norway,Senegal,3.0,2.0,H,H,1,0.2102,0.2742,0.5155
2026-06-22,Argentina,Austria,2.0,0.0,H,H,1,0.0706,0.1303,0.799
2026-06-22,Jordan,Algeria,1.0,2.0,A,A,1,0.5228,0.2677,0.2095
2026-06-23,Portugal,Uzbekistan,5.0,0.0,H,H,1,0.0779,0.189,0.733
2026-06-23,Colombia,DR Congo,1.0,0.0,H,H,1,0.089,0.2103,0.7007
2026-06-23,England,Ghana,0.0,0.0,D,H,0,0.0526,0.2299,0.7175
2026-06-23,Panama,Croatia,0.0,1.0,A,A,1,0.5838,0.2556,0.1607
