team,squad_value_eur
"Argentina",807500000
"Spain",1220000000
"France",1520000000
"England",1360000000
"Colombia",302350000
"Portugal",1010000000
"Brazil",928200000
"Netherlands",754200000
"Germany",947000000
"Norway",589900000
"Japan",270850000
"Mexico",191850000
"Switzerland",332500000
"Croatia",387300000
"Denmark",365000000
"Italy",319000000
"Belgium",547500000
"Morocco",447700000
"Ecuador",368700000
"Uruguay",359300000
"Austria",245200000
"United States",385650000
"Senegal",478100000
"Paraguay",153650000
"Turkey",473700000
"Australia",77450000
"Algeria",256900000
"Ukraine",247000000
"Canada",198650000
"Russia",242700000
"South Korea",139050000
"Scotland",170250000
"Nigeria",172050000
"Iran",32050000
"Greece",275600000
"Egypt",116480000
"Serbia",209500000
"Venezuela",79000000
"Ivory Coast",522100000
"Sweden",406080000
"Chile",66800000
"Kosovo",147450000
"Hungary",209200000
"Poland",232100000
"Peru",30630000
"Ireland",
"Czechia",188180000
"Panama",34550000
"Wales",180650000
"Slovenia",100500000
